Date,Product,Sales,Waste,Make,temp,rain,days,weather,wind,body_temp,hum,upset,dust,holiday,pop,search,a,b,c,Waste+난수,Make+난수,난수값,,,
01_08,레몬 마들렌,2,0,2,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,3,1,,,
01_08,르뱅 3종,3,0,3,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,2,5,2,,,
01_08,무화과 쿠키,2,0,2,-4.6,0,Mon,맑음,1.2,-3.323354,57.5,31.73295,53,0,213919.244,26,,,,1,3,1,,,
01_09,올리브 치아바타,8,1,9,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,3,11,2,,,
01_09,감자 치아바타,8,1,9,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,2,10,1,,,
01_09,소금빵,22,0,22,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,1,23,1,,,
01_09,갈레트 부르통,0,0,0,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,0,0,0,,,
01_09,통밀 비스코티,2,0,2,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,2,4,2,,,
01_09,5종 스콘,24,0,24,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,2,26,2,,,
01_09,레몬 마들렌,1,0,1,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,0,1,0,,,
01_09,르뱅 3종,4,0,4,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,0,4,0,,,
01_09,무화과 쿠키,1,0,1,-0.4,3,Tue,비,0.9,1.535516538,83.1,33.763624,36,0,171998.9465,49,,,,0,1,0,,,
01_10,올리브 치아바타,6,1,7,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,1,7,0,,,
01_10,감자 치아바타,6,1,7,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,2,8,1,,,
01_10,소금빵,24,0,24,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,2,26,2,,,
01_10,갈레트 부르통,3,0,3,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,0,3,0,,,
01_10,통밀 비스코티,1,0,1,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,2,3,2,,,
01_10,5종 스콘,15,3,18,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,3,18,0,,,
01_10,레몬 마들렌,2,0,2,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,1,3,1,,,
01_10,르뱅 3종,2,0,2,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,1,3,1,,,
01_10,무화과 쿠키,1,0,1,-1.3,0,Wed,박무,1.3,-0.082950989,85.1,31.982463,40,0,198944.8969,18,,,,2,3,2,,,
01_11,올리브 치아바타,6,0,6,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,1,7,1,,,
01_11,바질 치아바타,6,0,6,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,0,6,0,,,
01_11,소금빵,20,2,22,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,4,24,2,,,
01_11,갈레트 부르통,0,0,0,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,1,1,1,,,
01_11,통밀 비스코티,1,0,1,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,2,3,2,,,
01_11,5종 스콘,18,0,18,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,2,20,2,,,
01_11,레몬 마들렌,1,0,1,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,0,1,0,,,
01_11,르뱅 3종,1,0,1,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,1,2,1,,,
01_11,무화과 쿠키,2,0,2,0.8,0,Thu,박무,1.5,1.823585902,80.4,36.087568,67,0,197724.3761,28,,,,1,3,1,,,
01_12,올리브 치아바타,6,1,7,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,1,7,0,,,
01_12,감자 치아바타,6,0,6,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,0,6,0,,,
01_12,소금빵,24,0,24,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,1,25,1,,,
01_12,갈레트 부르통,1,0,1,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,1,2,1,,,
01_12,통밀 비스코티,2,0,2,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,0,2,0,,,
01_12,5종 스콘,3,3,6,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,5,8,2,,,
01_12,레몬 마들렌,2,0,2,0.8,0,Fri,박무,1.5,1.823585902,66.4,37.978688,50,0,180637.0843,40,,,,2,4,2,,,
